query       tfidf_thesaurus          lucene            tfidf_base        tfidf_stemming        bm25_base         tfidf_stopping      bm25_stopping       bm25_thesaurus      bm25_stemming    
    44            0.0            0.130767079775     0.0849007007173            ?             0.187407832514     0.0879959388126      0.172839143681      0.131470503907            ?          
    45       0.106757696773      0.260739056782      0.217353686674            ?             0.343485529782      0.150131401284      0.276405336941      0.12175361089             ?          
    42      0.00138517617322     0.119217912425      0.110264130042            ?             0.268010177926      0.127366295452      0.261707561221      0.17493259792             ?          
    43      0.0344859293087      0.24708306163       0.129075620016            ?             0.175341317311      0.139877668301      0.273148674683      0.183620906333            ?          
    40      0.0175644124679      0.173335300277      0.110489399463            ?             0.154400481464      0.111712763535      0.104401959704     0.0221968198302            ?          
    1       0.00630465642414    0.0723166631582     0.0135942886461           0.0           0.0669512034825     0.0278531263225     0.0713798596937     0.0361221636362           0.0         
    3       0.00127153980958    0.0325258357395     0.00958966235591          0.0           0.0697153575292     0.0106428241914     0.0637078068385     0.00792429402088    0.00630465642414  
    2             0.0            0.122787992196     0.0595898400253           0.0            0.130621325529      0.125900501576      0.141641242317     0.0336590174129     0.0186914852441   
    5             0.0            0.106024265544     0.0815411141776           0.0            0.125608907656     0.0801448070818     0.0983742583851     0.00908347427991    0.00749413675909  
    4       0.0286798360731     0.0628189789242     0.0830200183998     0.0160239881488      0.115820296606      0.112264109085      0.149577483355     0.0410808718147     0.0421995683525   
    7       0.0234702980049      0.276098028897      0.227378678945     0.0175190490643      0.332480431161      0.261157527597      0.433548022614     0.0530427104641     0.0921036971678   
    6             0.0           0.0864268918624     0.0653780559419           0.0           0.0778847816849     0.0763344051482     0.0932784104183     0.0396310123769     0.0038331922791   
    9       0.00798863919334     0.148542677707      0.108409106194            ?             0.161100527156      0.130698160063      0.16682092293      0.0267278646333            ?          
    8       0.0290404418431     0.0854142170195     0.0426417650651            ?            0.0769579865151     0.0504801222863     0.0751563765598     0.0478595680954            ?          
    13      0.0794799531047      0.169041259798      0.128075822745            ?             0.219242860606      0.141221453879      0.219457409158      0.125447463614            ?          
    12      0.0300094149808      0.125155703991     0.0946646203537            ?             0.117973506972      0.10596380523       0.123358122357     0.0407385479855            ?          
    15      0.0549856455909      0.074884396026      0.108125984299            ?            0.0973497710635      0.100261106494     0.0960360412127     0.0987712004589            ?          
    58      0.00221898238694     0.230175975055      0.214476676229            ?             0.332293140035      0.291625539597      0.32804406521      0.0297623983472            ?          
    11       0.172747140019      0.269309865645      0.214893761687            ?             0.256276636886      0.251135312011      0.254579602351      0.251657398992            ?          
    10      0.0388509448238      0.429432221696      0.295343506697            ?             0.487789037105      0.339604415984      0.485096841824      0.160622835279            ?          
    39      0.0991434837762      0.168872753637      0.170804905858            ?             0.189368529706      0.18981588049       0.226798952348      0.171585635355            ?          
    38       0.116614337293     0.0991184476207      0.152419500855            ?             0.163403249452      0.26921265518       0.298267767796      0.209564542797            ?          
    59      0.0805618245621      0.276578039694      0.243969925085            ?             0.232548067994      0.259264390341      0.345729818268      0.217284863756            ?          
    14      0.0473210504427      0.166110306974      0.218332308785            ?             0.446106338563      0.23377181468       0.442814716778      0.576355968484            ?          
    17      0.0396077788595      0.158782262411      0.104177130677            ?             0.157301152741      0.116715484221      0.177289728123     0.0946933616546            ?          
    16      0.0868696722241      0.135080155876     0.0834543239196            ?             0.137389472685     0.0759814300054      0.149302209306     0.0769480440719            ?          
    19      0.0967655452675      0.248430334532      0.188722177231            ?             0.269961512356      0.229750260796      0.26703218482       0.27272076118             ?          
    18      0.00860634710991    0.0855506232075     0.0647771745907            ?             0.16971144422      0.0726866229254      0.155898031952     0.0550398371627            ?          
    57      0.00884444234801    0.0518737751764     0.0418737751764            ?            0.0518737751764     0.0518737751764     0.0518737751764     0.0259452037478            ?          
    30      0.00283455591234    0.0461425066298     0.0327744866736            ?             0.106676465674     0.0453176370793      0.131818930685     0.00221898238694           ?          
    37      0.0760165049083      0.128856055259      0.148372084833            ?             0.147499394057      0.134348176247      0.149350192806      0.129474289118            ?          
    36            0.0            0.310835789407      0.171011173204            ?             0.347136879145      0.22479444704       0.352995072782      0.179833611937            ?          
    33            0.0            0.01747824995      0.0273737751764            ?            0.0518737751764     0.0290404418431     0.0418737751764           0.0                  ?          
    48      0.00209552559682    0.0758779134776      0.14651406295             ?             0.213886724438      0.173719768881      0.270720281948     0.0450234579573            ?          
    31      0.0527154435707     0.0510186917931     0.0727154435707            ?            0.0854142170195     0.0765689789242     0.0809142170195     0.0729142170195            ?          
